Race 1	Race 2	APO	Odds Ratio [95% CI]	Fisher's p-value
Asian	Black	GDM	3.77 [2.38, 5.97]	2.94E-08
Asian	Hispanic	GDM	2.54 [1.68, 3.8]	1.28E-05
Asian	White	GDM	3.07 [2.14, 4.37]	1.48E-08
Black	Asian	GDM	0.27 [0.17, 0.42]	2.94E-08
Black	Hispanic	GDM	0.67 [0.45, 1.01]	5.24E-02
Black	White	GDM	0.82 [0.58, 1.15]	2.84E-01
Hispanic	Asian	GDM	0.39 [0.26, 0.59]	1.28E-05
Hispanic	Black	GDM	1.49 [0.99, 2.25]	5.24E-02
Hispanic	White	GDM	1.21 [0.91, 1.59]	1.66E-01
White	Asian	GDM	0.33 [0.23, 0.47]	1.48E-08
White	Black	GDM	1.23 [0.87, 1.74]	2.84E-01
White	Hispanic	GDM	0.83 [0.63, 1.09]	1.66E-01
Asian	Black	PReEc	0.32 [0.17, 0.58]	3.23E-05
Asian	Hispanic	PReEc	0.54 [0.29, 1.01]	5.26E-02
Asian	White	PReEc	0.6 [0.33, 1.07]	8.95E-02
Black	Asian	PReEc	3.15 [1.73, 5.85]	3.23E-05
Black	Hispanic	PReEc	1.7 [1.28, 2.28]	2.28E-04
Black	White	PReEc	1.88 [1.5, 2.35]	6.89E-08
Hispanic	Asian	PReEc	1.85 [0.99, 3.48]	5.26E-02
Hispanic	Black	PReEc	0.59 [0.44, 0.78]	2.28E-04
Hispanic	White	PReEc	1.11 [0.86, 1.42]	4.09E-01
White	Asian	PReEc	1.67 [0.93, 3.04]	8.95E-02
White	Black	PReEc	0.53 [0.42, 0.67]	6.89E-08
White	Hispanic	PReEc	0.9 [0.71, 1.16]	4.09E-01
Asian	Black	PTB	0.61 [0.39, 0.95]	2.61E-02
Asian	Hispanic	PTB	0.85 [0.55, 1.31]	5.28E-01
Asian	White	PTB	0.86 [0.56, 1.3]	5.59E-01
Black	Asian	PTB	1.63 [1.05, 2.54]	2.61E-02
Black	Hispanic	PTB	1.4 [1.09, 1.8]	1.04E-02
Black	White	PTB	1.41 [1.15, 1.72]	9.90E-04
Hispanic	Asian	PTB	1.17 [0.76, 1.83]	5.28E-01
Hispanic	Black	PTB	0.72 [0.56, 0.92]	1.04E-02
Hispanic	White	PTB	1.01 [0.82, 1.24]	9.59E-01
White	Asian	PTB	1.16 [0.77, 1.77]	5.59E-01
White	Black	PTB	0.71 [0.58, 0.87]	9.90E-04
White	Hispanic	PTB	0.99 [0.81, 1.22]	9.59E-01
Asian	Black	NewHTN	0.73 [0.53, 1.01]	5.07E-02
Asian	Hispanic	NewHTN	1.48 [1.05, 2.04]	2.00E-02
Asian	White	NewHTN	0.85 [0.63, 1.13]	2.91E-01
Black	Asian	NewHTN	1.36 [0.99, 1.88]	5.07E-02
Black	Hispanic	NewHTN	2.01 [1.63, 2.49]	5.05E-11
Black	White	NewHTN	1.16 [0.99, 1.36]	6.22E-02
Hispanic	Asian	NewHTN	0.68 [0.49, 0.95]	2.00E-02
Hispanic	Black	NewHTN	0.5 [0.4, 0.61]	5.05E-11
Hispanic	White	NewHTN	0.58 [0.48, 0.69]	8.11E-11
White	Asian	NewHTN	1.18 [0.88, 1.58]	2.91E-01
White	Black	NewHTN	0.86 [0.74, 1.01]	6.22E-02
White	Hispanic	NewHTN	1.74 [1.46, 2.07]	8.11E-11
