Antecedent	Consequent	Prevalence in Asian (Before/After Omitting)	Relative Change in Prevalence in Asian (95% CI)	Relative Change in Prevalence in Asian p-value (bootstrapped)	Prevalence in Black (Before/After Omitting)	Relative Change in Prevalence in Black (95% CI)	Relative Change in Prevalence in Black p-value (bootstrapped)	Prevalence in Hispanic (Before/After Omitting)	Relative Change in Prevalence in Hispanic (95% CI)	Relative Change in Prevalence in Hispanic p-value (bootstrapped)	Prevalence in White (Before/After Omitting)	Relative Change in Prevalence in White (95% CI)	Relative Change in Prevalence in White p-value (bootstrapped)
('Family_DM=1',)	('GDM=1',)	10.76% -> 9.51%	-11.65% (-31.19%, 8.58%)	0.16	3.1% -> 2.4%	-22.38% (-42.21%, -4.23%)	0.01	4.54% -> 4.09%	-9.92% (-21.91%, 2.66%)	0.085	3.77% -> 2.99%	-20.8% (-28.93%, -12.51%)	0.0
('BMI=35+',)	('GDM=1',)	10.76% -> 10.43%	-3.1% (-9.38%, 1.92%)	0.17	3.1% -> 2.23%	-28.07% (-48.08%, -10.09%)	0.0	4.54% -> 4.0%	-11.83% (-22.39%, -2.7%)	0.01	3.77% -> 3.26%	-13.72% (-19.59%, -7.76%)	0.0
('Age=35-39',)	('GDM=1',)	10.76% -> 11.01%	2.3% (-8.57%, 12.95%)	0.35	3.1% -> 2.8%	-9.77% (-19.76%, -1.73%)	0.005	4.54% -> 4.14%	-8.82% (-16.77%, -2.05%)	0.01	3.77% -> 3.43%	-8.99% (-13.62%, -4.15%)	0.0
('BMI=30-35',)	('GDM=1',)	10.76% -> 9.72%	-9.65% (-21.98%, -0.41%)	0.025	3.1% -> 2.69%	-13.26% (-30.62%, 2.72%)	0.075	4.54% -> 4.09%	-9.81% (-20.66%, -0.75%)	0.02	3.77% -> 3.3%	-12.66% (-19.55%, -6.41%)	0.0
('Age=40+',)	('GDM=1',)	10.76% -> 9.63%	-10.55% (-21.93%, -3.02%)	0.01	3.1% -> 3.04%	-1.89% (-7.38%, 0.92%)	0.335	4.54% -> 4.49%	-1.01% (-4.46%, 0.56%)	0.365	3.77% -> 3.68%	-2.44% (-5.24%, -0.43%)	0.005
('PCOS=1',)	('GDM=1',)	10.76% -> 10.3%	-4.3% (-12.64%, 2.43%)	0.08	3.1% -> 3.03%	-2.27% (-9.19%, 3.23%)	0.275	4.54% -> 4.14%	-8.76% (-16.41%, -2.4%)	0.0	3.77% -> 3.63%	-3.87% (-8.3%, -0.5%)	0.015
('HighBP=1',)	('GDM=1',)	10.76% -> 10.58%	-1.66% (-6.14%, 1.1%)	0.295	3.1% -> 2.79%	-10.05% (-23.69%, 2.1%)	0.045	4.54% -> 4.4%	-2.99% (-10.16%, 1.5%)	0.1	3.77% -> 3.64%	-3.56% (-7.29%, -0.38%)	0.01
('Exercise=inactive',)	('GDM=1',)	10.76% -> 11.63%	8.05% (-5.32%, 21.6%)	0.08	3.1% -> 2.59%	-16.39% (-35.1%, 1.89%)	0.045	4.54% -> 4.45%	-2.0% (-14.02%, 9.63%)	0.345	3.77% -> 3.3%	-12.53% (-20.59%, -4.34%)	0.0
('HighBP=1',)	('PTB=1',)	7.09% -> 7.14%	0.79% (0.0%, 1.78%)	0.0	11.08% -> 9.92%	-10.46% (-16.19%, -4.62%)	0.0	8.19% -> 7.83%	-4.39% (-8.88%, -0.32%)	0.015	8.13% -> 7.99%	-1.76% (-3.78%, 0.05%)	0.035
('Age=<18',)	('PTB=1',)	7.09% -> 7.16%	1.06% (0.25%, 2.22%)	0.0	11.08% -> 10.19%	-8.01% (-15.92%, -1.16%)	0.012	8.19% -> 8.38%	2.29% (-2.8%, 6.84%)	0.162	8.13% -> 7.8%	-4.03% (-6.34%, -2.02%)	0.0
('BMI=35+',)	('PTB=1',)	7.09% -> 6.95%	-1.9% (-9.87%, 2.69%)	0.353	11.08% -> 10.17%	-8.15% (-16.63%, 0.45%)	0.03	8.19% -> 7.79%	-4.91% (-10.95%, 1.22%)	0.056	8.13% -> 7.88%	-3.1% (-6.21%, -0.31%)	0.012
