Antecedent	Consequent	Prevalence (Before/After Omitting)	Relative Change in Prevalence (95% CI)	Relative Change in Prevalence p-value (bootstrapped)	Gini Coefficient (Before/After Omitting)	Relative Change in Gini Coefficient (95% CI)	Relative Change in Gini Coefficient p-value (bootstrapped)
Family_DM=1	GDM=1	4.11% -> 3.35%	-18.44% (-24.53%, -11.67%)	0.0	0.268 -> 0.295	10.14% (-12.42%, 36.47%)	0.145
BMI=35+	GDM=1	4.11% -> 3.59%	-12.66% (-17.55%, -8.14%)	0.0	0.268 -> 0.318	18.79% (7.76%, 37.8%)	0.0
Age=35-39	GDM=1	4.11% -> 3.76%	-8.48% (-12.11%, -4.43%)	0.0	0.268 -> 0.296	10.67% (-0.83%, 23.14%)	0.04
BMI=30-35	GDM=1	4.11% -> 3.65%	-11.27% (-16.27%, -6.77%)	0.0	0.268 -> 0.277	3.25% (-12.17%, 19.25%)	0.36
Age=40+	GDM=1	4.11% -> 3.99%	-3.06% (-5.52%, -1.37%)	0.0	0.268 -> 0.247	-7.87% (-22.1%, -0.35%)	0.02
PCOS=1	GDM=1	4.11% -> 3.92%	-4.65% (-7.8%, -1.97%)	0.0	0.268 -> 0.265	-1.22% (-9.62%, 6.59%)	0.43
HighBP=1	GDM=1	4.11% -> 3.96%	-3.69% (-6.53%, -1.36%)	0.0	0.268 -> 0.282	5.28% (-1.9%, 13.77%)	0.085
Exercise=inactive	GDM=1	4.11% -> 3.78%	-7.97% (-13.21%, -1.84%)	0.0	0.268 -> 0.322	20.08% (5.12%, 38.8%)	0.005
BMI=35+	PReEc=1	5.76% -> 5.09%	-11.72% (-15.3%, -8.22%)	0.0	0.204 -> 0.196	-3.95% (-22.08%, 12.4%)	0.299
HighBP=1	PReEc=1	5.76% -> 5.52%	-4.16% (-6.51%, -2.13%)	0.0	0.204 -> 0.182	-10.81% (-22.76%, -3.53%)	0.001
Diet=Poor	PReEc=1	5.76% -> 5.21%	-9.66% (-14.52%, -5.18%)	0.0	0.204 -> 0.208	2.2% (-20.21%, 25.2%)	0.452
BMI=30-35	PReEc=1	5.76% -> 5.38%	-6.7% (-10.34%, -3.18%)	0.0	0.204 -> 0.235	15.34% (-3.16%, 42.75%)	0.065
Age=<18	PReEc=1	5.76% -> 5.61%	-2.64% (-5.12%, -0.31%)	0.011	0.204 -> 0.206	1.34% (-7.5%, 9.38%)	0.331
PCOS=1	PReEc=1	5.76% -> 5.63%	-2.24% (-4.32%, -0.16%)	0.015	0.204 -> 0.197	-3.44% (-9.88%, 1.44%)	0.091
